2026-02-12T19:21:13.391000+00:00 | 2026-02-12T16:21:13.391000-03:00 | info | whatsapp:connection | Reconnecting to complete authentication | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:21:13.403000+00:00 | 2026-02-12T16:21:13.403000-03:00 | info | whatsapp:auth | Created new credentials | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:21:14.245000+00:00 | 2026-02-12T16:21:14.245000-03:00 | info | whatsapp:connection | QR code generated | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:21:17.258000+00:00 | 2026-02-12T16:21:17.258000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:21:17.261000+00:00 | 2026-02-12T16:21:17.261000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:21:22.267000+00:00 | 2026-02-12T16:21:22.267000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:21:22.270000+00:00 | 2026-02-12T16:21:22.270000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:21:27.276000+00:00 | 2026-02-12T16:21:27.276000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:21:27.281000+00:00 | 2026-02-12T16:21:27.281000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:21:32.287000+00:00 | 2026-02-12T16:21:32.287000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:21:32.298000+00:00 | 2026-02-12T16:21:32.298000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:21:37.307000+00:00 | 2026-02-12T16:21:37.307000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:21:37.312000+00:00 | 2026-02-12T16:21:37.312000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:21:42.660000+00:00 | 2026-02-12T16:21:42.660000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:21:42.665000+00:00 | 2026-02-12T16:21:42.665000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:21:47.671000+00:00 | 2026-02-12T16:21:47.671000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:21:47.675000+00:00 | 2026-02-12T16:21:47.675000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
